uid,question,answer,eva4b_label
cd24fab87971c312ae4c531b55c66083,"Good end to 2020. Just had one quick follow-up question on the sort of growth guide or I guess, two sort of follow-up questions there. What currency tailwind are you assuming in the revenue guide? And outside of the sort of faster growth in Advanced Surface Technologies that you described versus the business as a whole, are there any other material mix issues affecting sort of the margin outlook as you look in at 2021, the rest of 2021?","Justin, this is Milt. Let me take the first question on currency. When we provide guidance or outlook, and this is true throughout the year. We're always doing it with the perspective of kind of where we are currently at the time.

And so if you look at our biggest currency exposure, it would be the euro, and I think it was $1.20, $1.21 or so at the end of the year, and it stayed at about that level since the end of the year. And so our guidance is based on rates. So we're not -- we don't project what might happen to currency. So yes, the currency moves a good bit, either the dollar continues to weaken or if it reverses and strengthens that will have some impact on our guidance.

And we'll comment on that as the year progresses.

Yeah. I'll add a little color on the sort of mix piece and the cost piece. So Justin, as you know, we've been through a couple of these downturns before and have some history in terms of what typically happens, right? So coming out of these downturns, we typically get nice rebounds in all of the end markets that we serve. We're seeing that today.

Minus aerospace and oil and gas, everything else is really rock solid. But we also see commodity prices start to take off as well, right? So on the cost side, what we're managing right now is increases in steel pricing, increases in bronze pricing. We're pretty well positioned with PTFE, which is the largest commodity that we purchased. But some of the mix issues that we'll see this year that impacts our cost basis is, we do have a strong recovery in automotive, but we also have steel and Bronze powder increases that will impact our automotive businesses a little bit as well as the STEMCO business.

So we're real thoughtful in how we thought about the full year, taking those things into consideration. Obviously, we price and price aggressively. We put some good processes in place during the downturn to really link the supply chain group to commercial group a little bit tighter. So that we can pass on price increases immediately as we start to see them, and we've already started that process.

But I think it's mindful. We're mindful that we have to manage sort of an increasing cost exposure, particularly with our commodities.",direct
78c6f6cb12c5510ac1f343d66dd057fa,It's great to see some of the new products you launched gaining traction. Just wondering to the extent you can discuss any launches you're excited about for this year or particular segments where those new product launches are focused on?,"Sure. We have -- I'd say the areas that are generating the most interest here are in the Aerospace & Defense group and in our Refinery Valves group. So I mentioned the isolation valves that we've recently launched in Refinery Valves. Both of those products are very innovative, very different and solve big problems in the applications where we're selling them. So we're seeing a lot of interest in both products. We have orders for the delayed coker isolation valve of about $2.5 million in the fourth quarter, and so we're expecting that to ramp up as we progress into this year.

When I look at Aerospace & Defense, most of the innovation that we're doing there is in combination with our customers. So we'll win a program before the design is complete and design it with the customer. And we've got a number of interesting products that we're working on for Aerospace & Defense. One in particular is -- or actually there's several on these -- on the new nuclear submarine programs that are in development in both the UK and in the US that we're pretty excited about.",direct
c19d263b1c5018558270c8411f04d737,"Second question would actually be about your liquidity position. I know, Craig, you noted the -- I think in your prepared remarks you referenced is being strong. And you guys don't really have any near-term maturities, I guess, that would, you know, that would be concerning. You know, I guess I'm wondering, you know, how you think about that liquidity position. I mean, obviously, there's a fear out there, the economy is going to slow. The consumer slows down. Do you still feel like your liquidity position would be in a pretty good position even if we did go into some kind of, you know, larger type recession? And I guess maybe what might be helpful, you know, is to remind us how the business held up, you know, during the last recession or so, if that makes sense.","Sure. So, when I think about the liquidity position of the company, given that we have $176 million of cash, given that we're seeing substantial deposits and funnel payments for future travel, given that all the ships are back in the water and operating, I feel pretty good about where we are from a cash perspective today, assuming that current trends continue. So, that gives me confidence. I also have confidence when you look back to 2008 and 2009, you know, granted it's a very different time and things have changed dramatically since then. But even back then, at the height of the recession, the company's occupancy levels at the time were around 85%, and they dropped to somewhere around 75%. But the company remained profitable. The company didn't have to do a significant amount of discounting. And it discounted a little bit to keep occupancy levels high, but there wasn't a lot of that. And the company bounced back really quick. Within nine to 12 months, we were back to operating at full level. So, I feel pretty good about the fact that we'll be resilient in terms of -- if there was any kind of a recession. Obviously, our guests tend to be more affluent than most, and they tend to want to travel. Not to mention these are guests that have been, I would say, as I said in my comments, unable to travel for a couple of years. So, they really want to get out and explore now while they can. So, we feel like we have some really good dynamics that would help us during a recession. Certainly, we'll be impacted, but we feel like we'd be in good position to continue to succeed.",direct
0a77a63a0202458877c69d4388e7cf10,"Sorry, I have a couple more. But with GSK stepping away from their self-amplifying RNA programs, based on their earnings call, can you just verify that this was totally unrelated to CureVac, you had no involvement with the self-amplifying mRNA -- RNA, sorry?",Yeah. I can confirm that we have no involvement on GSK's position on GSK program. Yes.,direct
2b9e42659440f0aceb2fe291e1775786,Can you tell us the significance of going in as the senior party?,"So, the senior party generally has the stronger position, as I mentioned. The junior party holds the burden of proof for the proceedings. And so, they have to go first in terms of putting forth their depositions and their data. And we will -- or the Broad on our behalf will go second. So, we believe that this puts us in the strongest position overall, I think the data suggests that the majority of the time the senior party prevails. We continue to remain extremely confident in our patent portfolio from the Broad.",direct
9765848f5614d83e97f100bef51e60fe,"Hey, good morning, everyone. Maybe just to start. I'm curious as you've recently updated the label both for the black box warning and the mechanism of action, if there's any feedback you can highlight from the field in terms of the response you're getting as you promote to most with those updates.","Yeah, sure. Hi, Corinne. So we're in the process of, you know, updating all of our promotional assets to reflect the boxed warning, as well as the mechanism of action. But I can tell you that already we're hearing that the fact that the boxed warning has been removed is news, good news. That's getting our field in the door. And the mechanism of action update has enabled us now to explicitly state, as Chhaya mentioned, TYMLOS is an anabolic agent that helps form new bone. That message is pretty powerful and simple. And so it enables us to kind of really simplify the message. And that's really helpful for our sales team, and it's definitely a place we're going to be emphasizing in '22.",direct
b9e617dbf35ff19cffb48891007fdd1b,"And just, I guess, the messaging on gross margin, I think I had it right in that it was 225 bps off of a gross margin of 37%. As we look at that going forward, with -- is gross margin largely dependent on new pump deployment in terms of where it goes?","Yes. Yes. That will be the largest single variable probably for the rest of the year on gross margins. That's why I think -- Jayson, Brian's script was saying, we feel OK about the 38% to 39% for the year. But that pump volatility could move that up or down. I think we have the clearest view of Q2, right, because of the -- we're actually talking basis points of gross margin, like very specifically.",direct
01d7b0606f49c6c773b9668182a3a081,"OK. And I think you all did better than your guidance in the third quarter in SAO on margins, at least relative to what we were thinking. But PEP was a little bit late, maybe by a couple of million dollars if you exclude the insurance gain. So what missed perhaps relative to your expectations there?","Yes, you're right. So that was a couple million dollars. So in the whole scheme of things, not that large compared -- you had almost $80 million in two segments combined. But I guess the positive to that is that I think it's very specific to our Amega West business primarily. It's not a market issue. It's a specific new tool that we've developed and the adoption of that tool has not been what we would like it to be. So that's one specific, we had great expectations for that and we've fallen flat and we need to make that correction. But it's not a market issue. And if you look at the other businesses inside of PEP, Dynamet quite frankly is doing very well. They did a great job recovering from the fire that we had. Did our best to take care of all of our customers, and I'm very proud of how they've done that. And now we're investing money in both of our Dynamet locations to increase capacity because of the share gains that we've added, particularly on the medical side. So PEP is a pretty strong business for us, and we need to get after on the Amega West side those specific tools that we take to market and make sure we have the appropriate marketing plan to take advantage of their capabilities. And in this case here, we did not do it.",direct
c8ea17e1d141630d00c541dfd0584c5b,"Got it. And lastly, what kind of regulatory hurdles do we need to clear to get this done this year? Thanks.","Regulatory, the HSR filing in the U.S. and then there's a filing in the EU merger regulations as well, so those are the two regulatory filings. And of course, both companies are subject to shareholder approval as well.",direct
f0b715ff7fde7c0c3ff653570925dec1,"Yes. And then last question, it's a cyclical question. I think your Non-Medical is a cyclical business. I think we are entering into a period of time where I think we're not just early cycle, people are talking about, maybe we're getting early to mid-cycle on that, and you guys are just bottoming at $7.5 million. How should we be thinking about that business here?","So you're referring to our Electrochem, Non-Medical...

Sure, sure. We think this is definitely the bottom. We have seen an improvement in orders and demand from customers. We don't think that's going to meaningfully change our outlook for the rest of the year. We -- 2020, we were about $35 million in sales. We expect this year to be about the same as that, maybe a little higher, maybe a few million higher. So if you look at the first quarter at $7.5 million, that's a $30 million run rate. So it has to pick up a little bit to get to that $35 million to $38 million number that we're assuming for the year. Our assumption is that the oil and gas market doesn't really fully recover until 2022.

That's what we're hearing from customers publicly, privately. That's the baseline that folks seem to be operating with. And so maybe we're being conservative by assuming not much change from 2020, $35 million, but that's our baseline assumption. If it gets better, you'll see it flow through into our guidance over the rest of the year. But we're assuming very little growth on a year-over-year basis with 2022 being the year that we see the meaningful recovery.",direct
c98ba3d936310fa8e245cdbb558d0e68,"Can I ask one follow-up on Macau? Just kind of a bigger-picture question. I think that you've said on previous calls that it might be sort of a multiyear. So just looking bigger picture, the VIP piece of the business has never gotten back to kind of that pre -- that 2014 level. Where do you think -- when things normalize, when borders are open, and it's not -- and that's not the issue, where do you think VIP kind of levels out versus pre-COVID levels?","It's really hard to predict. But on the past couple of calls, I've been out there saying that it feels like it probably gets back to around 50% of the pre-COVID levels. I hope I'm wrong. I hope it's more than that.

But we're positioning our business for that outcome, and we're positioning our business on the continued growth in the premium mass and mass segment.

And I would just add to that, Robin. You're right. The junket business has been evolving, but we've been evolving, too. And so a lot of those players are actually playing directly with the operators, right? So we've been pivoting resources to better serve those customers, as we've talked about kind of ad nauseam, both physical resources and service personnel.

And so we're well-positioned to deal with the transition, whatever that transition ultimately looks like.",direct
c21aad56ab0607754191a4a10a3893e5,"Got you. That's super helpful. Just a follow-up, can you give us a sense on how you think the promotional environment will play this holiday season, I guess specifically, sort of given the short-end selling season, and is that sort of baked into your guide?","Yes. It's baked in. I think given the marketplace, we expect it to be promotional. I don't -- I wouldn't necessarily comment that it will be more promotional than last year. Certainly it feels like we've started a little bit earlier, but our direction has been to really reinforce our assortment to stay as far away from a lot of those promotional categories as possible, and really create a strong desirability for our apparel business. That should not have to be tied to a promotional mechanism. We will certainly have promotions, but our expectation based off the assortment that we have is that it will be scarcer than what's out in the marketplace and readily available. We will not be promoted as hard as the rest of the marketplace, and we'll tie back to our really, really strong sneaker business. So we feel very, very good about our apparel business and where we stand today.",direct
eef621e6c0a960b2b8e0152ced455c19,"Got it. I also wanted to touch on capital structure and the issuance of the 300 million in unsecured. Just wanted to understand how you are thinking about balancing bonds with bank debt, and how you are thinking about sort of the capital structure moving forward, and if you're going to move more toward one and away from the other, just kind of wanted to get your thoughts on the long-term capital structure in that issuance.","Yes. What we have seen is that bond capital is getting harder and harder to find. And not only that but also the actual amount that each bank is preparing... the limits per clients are going down because banks are getting more and more conservative with shipping. And if one wants really to have a reliable source, then the bond market is really the one to recover. We could have â as you know, our existing facilities were due until the end of 2023. So, we've had a lot of leeway. But we decided to make this move in order to be well positioned. I think that with our performance in the bond markets, we will be able to lower significantly our borrowing costs going forward. And this will give us really the strength and the competitive advantage to do kind of large deals and not to depend on the banking market, which -- of course, it will always be there as we all wish for in part of our capital structure. But I don't think it can really be the only one.",direct
df3755e69c56495bcbe4ad7cd99fd146,"Terrific and then it sounds like in Europe, can you just talk a little bit about how you were able to maintain the revenue while doing the significant restructuring. It sounds like there was a really good performance there.","Yeah, Mark, I would definitely say that was the case and we have a couple of large clients over there where we have been working on both existing projects and expanding our footprint there and again, candidly, we have a very engaged and dedicated team there that kind of soldiered through a tough situation and managed to keep our clients happy and make sure that our consultants felt connected to us. So it was, as you pointed out, it's a story of good performance.",direct
e63fb4e0b3e4745c98d1ce567c5ae140,On the prior question about kind of the opportunities on protein production I understand why you have the headwinds now. Can you talk about may be some time frames when you should start to see that business accelerate as other countries start to kind of modernize some of their protein production to more westernized standards?,We will see maybe next year.,direct
15e78ea49a652b17bba947771024c9f8,Where are you at the moment in terms of the fleet? Do you still expect to be busy on the acquisition fronts here in the coming months?,"Yes. Well, thanks for that. I mean, it's funny, we don't feel like we've been quiet. But you're right, we haven't acquired any more ships since February in the last few months.

As I said in our -- in the prepared remarks, we think that asset values are trailing based on the current market. And really the most important thing for that is the forward curve, which continues to push up. Next year is now trading close to 15 and 2023 is moving up to mid 12. So, as people get more confidence in the forward market, we think asset values have potentially considerable upside.

So we are looking as we always do, we're looking at further acquisitions. We feel comfortable where we are with our 52 ships. We only have three ships remaining that over 15 years old. Ultimately, those are sales candidates as the other older ships have been.

But really in our mind, it's about obtaining fair value based on where we think, the cash flow generation is for those ships in the forward curve. So we're not there yet. But ultimately those ships likely will be monetized and very likely will continue to require ships on a targeted basis.",direct
1f0ca89c575001d6fdcbd7ffafc90824,What are the factors that have historically prevented sponsors from moving a larger percentage of their trials to a more virtual model? Are regulators on board with the shift to more virtual trials?,"Factors preventing more virtual trials include industry conservatism, regulators not being fully on board previously, and lack of precedent for getting drugs approved based on virtual trials. However, during the pandemic regulators have been more accommodating of remote approaches. We've seen a major shift, with pre-pandemic only 5% of monitoring visits being virtual, rising to 60% at the pandemic peak, and now stabilizing around 30%. Technology improvements are enabling more efficient remote monitoring. While we won't go back to pre-pandemic levels, the move to more virtual/decentralized trials will be a gradual process as the industry adapts.",direct
dc51b30431b87e5887e2345453f9d177,"Hey. I figured why not? Does it get easier to hire agents if the market slows? Just philosophically, maybe talk about that. Thanks.","Yes. No. It absolutely does. It's one of the benefits of a slowing market. When things are incredibly busy, agents don't have the time to have a conversation. They're too busy with their clients, which, of course, is their priority. So they don't have time to learn about Compass and to see what we can provide with our platform. And so that's definitely one of the benefits. And it's also worth noting, though, that we've seen extraordinary levels of retention. One thing we did not mention in the call is that retention in the last 2 quarters was the highest it has been in the past two years. And so we hear a strong indication that agents are seeing value from the platform, and they continue to want to -- they continue to see that this is a place where they can best grow their business, save time and best serve their clients.",direct
2546bb60829a021f414636b669aedefd,"Just some questions, the performance fees that you booked in Q1, it looks like that came from Lending Fund I. Just wanted to see if you can confirm that. And if there's -- that's all the performance fees you expect to collect? Or would we see some come up in future quarters?","Geoff, it's Kevin here. I'll take the first half of that around the components, and then I'll turn it over to Peter to speak on the outlook going forward. But yes, you are correct. The lion's share of that carrying performance is the carry from, from LF1. But then, to a lesser extent, there's some performance fees coming from some of the managed equities products we have as well that round out that total that you saw there. In terms of the outlook, it's always really hard to tell. LF1 needs to finish wrapping up. So I think there might be some further flow from that fund. Really, LF2 is much bigger and has had very strong performance the way we see it right now. But it's too early to forecast exactly when those performance fees will kind of be harvested. So it looks like it's a slowly ramping business, and it might be quite lumpy in terms of performance fees.",direct
b02e09fee05a5e3c94332b5494fc831d,"And I guess, I'd like to get a understanding of how you're thinking about the broader trend in your cable TV market in that? I recall speaking about this a couple of quarters ago, at which point you thought that maybe in the construction season spring to summer 3Q '21 you'd be getting back to kind of mid-teens revenue, I want to recheck where you're thinking today about the cadence of your cable business through '21.","I think we probably can be significantly higher than that level later on in the year. We're sitting right now on the strongest backlog of cable TV products I think we've ever had. And as I've noted in our prepared remarks, this was the best -- the fourth quarter was the best quarter in cable that we've had in several years. So where we're standing right now I think I see pretty strong performance in the cable segment through -- certainly through Q3 and probably through the end of the year.",direct
669629fcce381d6878a6015464f3b5a9,"Okay. That's -- I get that. And last question on assuming that as we get out to next quarter, you guys are thinking about FY'22 guidance. Just what are some of the moving pieces you like us to consider at this point?","So, we will come out with guidance when appropriate, hopefully that will be at the time that you normally see. And we're going to keep our eye on COVID and the continuing impact that we see there. I think a lot of the things that we've been talking to you throughout FY '21 are going to be the moving pieces. I think first and foremost, we've got a line of sight to top line growth through our growth platforms in Auryon, AngioVac and what you're seeing clearly in the U.S. in terms of nano probes. That focus of course will continue as we head into FY'22. We've talked about our plans on continuing to invest in R&D, as well as continuing to invest in the sales force to drive that top line growth, and we're going to look to be as transparent as we can about those investments. But I think the expectation is we will be investing to support that top line growth that we think is going to be important to our long-term strategy. And then beyond that is the gross margin, which is what we've talked a little bit about this quarter in terms of our expectations. Again, the big point being we expect our margin profile to be positively impacted by our growth platforms over time. As we sit here today, a large part of our revenue base is coming from those more mature businesses and we've got one plant, it's in upstate New York, it's in an area where there is a tough job market in the sense that there aren't too many openings and a lot of people are hiring. And so some of the things, some of the headwinds that we're facing currently. But I think those are the major drivers that you should expect very similar to what we saw in '21 as you head into '22.",direct
6bee0a4d13f3f8b54c0bdbd47f81d3a2,"Slide 13, Footnote 2, where you have no regulatory assets or liabilities related to COVID-19 at this point? Yes, it's my understanding you have received approval to report regulatory assets in just about all of your service territory. So the decision not to record any regulatory asset at this point based on COVID-19, was your decision driven by the fact that you were able to control your expenses at this point that they were reduced enough that you didn't feel a need to record any Reg assets? Is that a fair assessment of that?","Yeah. It's pretty close. I mean, as you mentioned, Charles, we've got the orders that cover about 90% of our customer base right now. We're evaluating the language in those orders. They were sufficiently broad and so we're interpreting how best to evaluate that order vis-a-vis our filings, talking with our regulators and we anticipate by the end of the fiscal year that we will establish some form of regulatory asset. It's just a matter of timing in this fiscal year when we establish that, but we are closely evaluating that right now and that's been factored into the guidance for the remainder of the fiscal year.",direct
57d956f6024e1e9c79fec4904030a1ae,"All right. Thanks. Just a couple more for me, guys. One being TRS rental revenue growth, nice acceleration in fourth quarter. Could you speak a little bit to the end market dynamics a little bit more and discussion of 5G considerations? Thanks.","Sure. 5G is -- we all hear in the news, it's -- different carriers are announcing different programs with 5G. It really hasn't made it onto the towers yet. Most of the 5G work is through backhaul and bandwidth expansions up through the networks and into the towers, but not so much tower work at this point. That 5G bandwidth expansion work, we're actually -- we're capturing work from that. And so that's helped with our communications rentals. And also over on the GP side, robust demand in aerospace and defense, and semiconductor industries has also helped us there. And we're experiencing healthy growth. Utilization for our GP equipment recently was at 75%, which is really healthy for us, and we're actively buying equipment to meet demand. And it's going out on rent. And Scott, I would add, if you look at the 8% growth in rental revenues, as I remarked in my comments, that's comprised of 9% growth on the general purpose side, 4% growth on the communications side. A portion of that 9% growth on the general-purpose side, we believe, is tied to R&D work related to device design for 5G. So it's not so much in the network build-out, but it's more devices and equipment that are being designed and need use of general-purpose equipment. So we are seeing that as a positive in that part of the business.",direct
667193be38e9f2d1cfe6148ec125e173,"On the obviously, pandemic, with the vaccine rollout under way and restrictions being increasingly lifted, etc, we probably should expect especially product business to bounce back, if not interchange, stop growing year-over-year. But on Human Nutrition side, I was just curious on, especially on the foodservice market, a lot of restaurants,etc., also likely starting to see improved business, is any of that showing up for you yet? Or is it still way too early?","Yeah, it is Mitra. We are -- we've talked about, we have approximately $50 million to $60 million of sales, or we did at least in 2019 that went into foodservice that really was a significantly impacted, and we are absolutely seeing an increase in that business. It's still volatile, it's still not consistent. But we are seeing that business come back in an encouraging way.

We have all along had as part of our Human Nutrition & Health business and really across Balchem as a whole parts of the company that were negatively impacted by COVID and parts that were positively impacted by COVID, we'll talked about Keurig Dr Pepper, and the business that we have with them likely there being a work-from-home, a boost to that business, that helps us offset some of that decline that we saw in foodservice and, and by and large those parts that have been somewhat benefited by the pandemic, we're seeing continue at very strong levels, and there are reasons to think that that will continue.

I personally feel as though on the on the supplement side of things that the strength and awareness that has been built over the last year will largely continue and so we're expecting continued strength in that business and encourage Dr Pepper just issued their results and I think they're very bullish about the year as well. And I think there's some staying power for that business. But there is as we see food service comeback more over the course of the year, there is some positive offset to any decline that we might happen to see from those other areas. So we do feel good about the H&H business for the rest of the year.",direct
01bf91c40d7c5934c1c3dfb43c90c728,"The holdover inventory from holiday that you mentioned, was that originally aimed at full price? Or was it originally aimed at outlet?","Yes. The pack and hold was originally aimed at full price. And just to be very clear, the product that we packed and held is products that we brought in with extended selling life associated with it, but the product got delayed. So as an example, if we bought a dress and we were planning on selling it for 12 weeks in stores, it only came in and allowed us for four weeks of sale in store.

We packed and held full-size runs of that product, and there had to be two things that were true in order to pack and hold the product. Number one, it had to have a high sell-through for the products that did get out to the stores on the website; and number two, it had to fit into the assortment architecture or EFO next year. And we are very clear with the teams on both of those, and that's why we have high confidence we'll be able to sell that at full price next year.",direct
